id,name,group,pattern,equipment,level,tracks,source,purpose,caution
doorway-chest-stretch,Doorway Chest Stretch,Chest,Mobility,Body weight,Beginner,Adult Strength; 50+ Durability; Student Energy; Teen Athlete,Men’s Health Big Book — Chest,Maintains usable range of motion for better lifting and daily movement.,"Stretch or mobilize into comfort, not pain."
alternating-dumbbell-bench-press,Alternating Dumbbell Bench Press,Chest,Push,Dumbbells,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
alternating-incline-dumbbell-bench-press,Alternating Incline Dumbbell Bench Press,Chest,Push,Dumbbells,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
alternating-neutral-grip-dumbbell-bench-press,Alternating Neutral-Grip Dumbbell Bench Press,Chest,Push,Dumbbells,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
alternating-swiss-ball-dumbbell-chest-press,Alternating Swiss-Ball Dumbbell Chest Press,Chest,Push,Dumbbells,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
barbell-bench-press,Barbell Bench Press,Chest,Push,Barbell,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
barbell-board-press,Barbell Board Press,Chest,Push,Barbell,Intermediate,Adult Strength,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
barbell-floor-press,Barbell Floor Press,Chest,Push,Barbell,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
barbell-pin-press,Barbell Pin Press,Chest,Push,Barbell,Intermediate,Adult Strength,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
barbell-towel-press,Barbell Towel Press,Chest,Push,Barbell,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
bosu-pushup,Bosu Pushup,Chest,Push,Bosu ball,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
close-grip-barbell-bench-press,Close-Grip Barbell Bench Press,Chest,Push,Barbell,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
close-hands-pushup,Close-Hands Pushup,Chest,Push,Body weight,Beginner,Adult Strength; 50+ Durability; Student Energy; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
decline-barbell-bench-press,Decline Barbell Bench Press,Chest,Push,Barbell,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
decline-dumbbell-bench-press,Decline Dumbbell Bench Press,Chest,Push,Dumbbells,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
decline-dumbbell-fly,Decline Dumbbell Fly,Chest,Push,Dumbbells,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
decline-pushup,Decline Pushup,Chest,Push,Body weight,Beginner,Adult Strength; 50+ Durability; Student Energy; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
diamond-pushup,Diamond Pushup,Chest,Push,Body weight,Beginner,Adult Strength; 50+ Durability; Student Energy; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
dip,Dip,Chest / Triceps,Push,Bar / station,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
dumbbell-bench-press,Dumbbell Bench Press,Chest,Push,Dumbbells,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
dumbbell-floor-press,Dumbbell Floor Press,Chest,Push,Dumbbells,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
dumbbell-fly,Dumbbell Fly,Chest,Push,Dumbbells,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
explosive-crossover-pushup,Explosive Crossover Pushup,Chest,Push,Body weight,Intermediate,Adult Strength; 50+ Durability; Student Energy; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
explosive-pushup,Explosive Pushup,Chest,Push,Body weight,Intermediate,Adult Strength; 50+ Durability; Student Energy; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
incline-barbell-bench-press,Incline Barbell Bench Press,Chest,Push,Barbell,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
incline-dip,Incline Dip,Chest / Triceps,Push,Bar / station,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
incline-dumbbell-bench-press,Incline Dumbbell Bench Press,Chest,Push,Dumbbells,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
incline-dumbbell-fly,Incline Dumbbell Fly,Chest,Push,Dumbbells,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
incline-dumbbell-fly-to-press,Incline Dumbbell Fly to Press,Chest,Push,Dumbbells,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
incline-pushup,Incline Pushup,Chest,Push,Body weight,Beginner,Adult Strength; 50+ Durability; Student Energy; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
incline-swiss-ball-dumbbell-chest-press,Incline Swiss-Ball Dumbbell Chest Press,Chest,Push,Dumbbells,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
iso-explosive-pushup,Iso-Explosive Pushup,Chest,Push,Body weight,Intermediate,Adult Strength; 50+ Durability; Student Energy; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
isometric-barbell-bench-press,Isometric Barbell Bench Press,Chest,Push,Barbell,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
judo-pushup,Judo Pushup,Chest,Push,Body weight,Beginner,Adult Strength; 50+ Durability; Student Energy; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
medicine-ball-chest-pass,Medicine-Ball Chest Pass,Chest,Push,Medicine ball,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
medicine-ball-pushup,Medicine-Ball Pushup,Chest,Push,Medicine ball,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
modified-pushup,Modified Pushup,Chest,Push,Body weight,Beginner,Adult Strength; 50+ Durability; Student Energy; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
neutral-grip-dumbbell-bench-press,Neutral-Grip Dumbbell Bench Press,Chest,Push,Dumbbells,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
neutral-grip-incline-dumbbell-bench-press,Neutral-Grip Incline Dumbbell Bench Press,Chest,Push,Dumbbells,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
pushup,Pushup,Chest,Push,Body weight,Beginner,Adult Strength; 50+ Durability; Student Energy; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
pushup-plus,Pushup Plus,Chest / Serratus,Push,Body weight,Beginner,Adult Strength; 50+ Durability; Student Energy; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
pushup-and-row,Pushup and Row,Chest,Push,Body weight,Beginner,Adult Strength; 50+ Durability; Student Energy; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
reverse-grip-barbell-bench-press,Reverse-Grip Barbell Bench Press,Chest,Push,Barbell,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
